gene,compound,compound_code,cui,relationship,source
NR1H2 gene,"(R)-5-{4-[2-(Methyl-pyridin-2-yl-amino)-ethoxy]-benzyl}-thiazolidine-2,4-dione",10021239,C0289313,negatively_correlated_with_chemical_or_drug,CMAP
NR1H2 gene,"(R)-5-{4-[2-(Methyl-pyridin-2-yl-amino)-ethoxy]-benzyl}-thiazolidine-2,4-dione",10021239,C0289313,inverse_negatively_correlated_with_chemical_or_drug,CMAP
NR1H2 gene,"1-(2,4-dichlorophenyl)-5-(4-iodophenyl)-4-methyl-N-morpholino-1H-pyrazole-3-carboxamide",4302962,PUBCHEM:4302962 CUI,negatively_regulates,LINCS
NR1H2 gene,"1-(2,4-dichlorophenyl)-5-(4-iodophenyl)-4-methyl-N-morpholino-1H-pyrazole-3-carboxamide",4302962,PUBCHEM:4302962 CUI,negatively_regulated_by,LINCS
NR1H2 gene,1-phenylbiguanide,4780,PUBCHEM:4780 CUI,positively_regulates,LINCS
NR1H2 gene,1-phenylbiguanide,4780,PUBCHEM:4780 CUI,positively_regulated_by,LINCS
NR1H2 gene,"3-{2-[4-(6-Fluoro-benzo[d]isoxazol-3-yl)-piperidin-1-yl]-ethyl}-2-methyl-6,7,8,9-tetrahydro-pyrido[1,2-a]pyrimidin-4-one (Resperidone)",5073,C0073393,positively_correlated_with_chemical_or_drug,CMAP
NR1H2 gene,"3-{2-[4-(6-Fluoro-benzo[d]isoxazol-3-yl)-piperidin-1-yl]-ethyl}-2-methyl-6,7,8,9-tetrahydro-pyrido[1,2-a]pyrimidin-4-one (Resperidone)",5073,C0073393,inverse_positively_correlated_with_chemical_or_drug,CMAP
NR1H2 gene,"5-(4-Chloro-phenyl)-6-ethyl-pyrimidine-2,4-diamine",4993,C0034283,negatively_correlated_with_chemical_or_drug,CMAP
NR1H2 gene,"5-(4-Chloro-phenyl)-6-ethyl-pyrimidine-2,4-diamine",4993,C0034283,inverse_negatively_correlated_with_chemical_or_drug,CMAP
NR1H2 gene,"8-[4-(4-Pyrimidin-2-yl-piperazin-1-yl)-butyl]-8-aza-spiro[4.5]decane-7,9-dione (Buspirone)",2477,C0006462,positively_correlated_with_chemical_or_drug,CMAP
NR1H2 gene,"8-[4-(4-Pyrimidin-2-yl-piperazin-1-yl)-butyl]-8-aza-spiro[4.5]decane-7,9-dione (Buspirone)",2477,C0006462,inverse_positively_correlated_with_chemical_or_drug,CMAP
NR1H2 gene,Chlorambucil,2708,C0008163,negatively_correlated_with_chemical_or_drug,CMAP
NR1H2 gene,Chlorambucil,2708,C0008163,inverse_negatively_correlated_with_chemical_or_drug,CMAP
NR1H2 gene,Cyclobenzaprine,2895,C0056732,negatively_correlated_with_chemical_or_drug,CMAP
NR1H2 gene,Cyclobenzaprine,2895,C0056732,inverse_negatively_correlated_with_chemical_or_drug,CMAP
NR1H2 gene,Decitabine,451668,C0049065,negatively_correlated_with_chemical_or_drug,CMAP
NR1H2 gene,Decitabine,451668,C0049065,inverse_negatively_correlated_with_chemical_or_drug,CMAP
