gene,compound,pubchem_cid,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,SMILES,rough_ro5_pass,rough_bbb_candidate,inchikey,dc_status,dc_struct_id,dc_name,atc_code,is_approved_drug
NR1H2 gene,"3-{2-[4-(6-Fluoro-benzo[d]isoxazol-3-yl)-piperidin-1-yl]-ethyl}-2-methyl-6,7,8,9-tetrahydro-pyrido[1,2-a]pyrimidin-4-one (Resperidone)",5073.0,410.5,2.7,61.9,0.0,6.0,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,True,True,RAPZEAPATHNIPO-UHFFFAOYSA-N,not_in_drugcentral,,,,
NR1H2 gene,"5-(4-Chloro-phenyl)-6-ethyl-pyrimidine-2,4-diamine",4993.0,248.71,2.7,77.8,2.0,4.0,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,True,True,WKSAUQYGYAYLPV-UHFFFAOYSA-N,found,2332.0,pyrimethamine,P01BD01,True
NR1H2 gene,Chlorambucil,2708.0,304.2,1.7,40.5,1.0,3.0,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,True,True,JCKYGMPEJWAADB-UHFFFAOYSA-N,found,588.0,chlorambucil,L01AA02,True
NR1H2 gene,Cyclobenzaprine,2895.0,275.4,5.2,3.2,0.0,1.0,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31,True,True,JURKNVYFZMSNLP-UHFFFAOYSA-N,found,751.0,cyclobenzaprine,M03BX08,True
NR1H2 gene,Doxylamine,3162.0,270.37,2.5,25.4,0.0,3.0,CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C,True,True,HCFDWZZGGLSKEP-UHFFFAOYSA-N,found,962.0,doxylamine,R06AA09,True
NR1H2 gene,Estriol,5756.0,288.4,2.5,60.7,3.0,3.0,C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H]([C@@H]2O)O)CCC4=C3C=CC(=C4)O,True,True,PROQIPRRNZUXQM-ZXXIGWHRSA-N,found,3187.0,estriol,G03CA04,True
NR1H2 gene,Estrone,5870.0,270.4,3.1,37.3,1.0,2.0,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O,True,True,DNXHEGUUPJUMQT-CBZIJGRNSA-N,found,3188.0,estrone,G03CA07,True
NR1H2 gene,Finasteride,57363.0,372.5,3.0,58.2,2.0,2.0,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)NC(C)(C)C)CC[C@@H]4[C@@]3(C=CC(=O)N4)C,True,True,DBEPLOCGEIEOCV-WSBQPABSSA-N,found,1171.0,finasteride,D11AX10,True
NR1H2 gene,Haloperidol,3559.0,375.9,3.2,40.5,1.0,4.0,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,True,True,LNEPOXFFQSENCJ-UHFFFAOYSA-N,found,1353.0,haloperidol,N05AD01,True
NR1H2 gene,Kinetin,3830.0,215.21,1.0,79.6,2.0,5.0,C1=COC(=C1)CNC2=NC=NC3=C2NC=N3,True,True,QANMHLXAZMSUEX-UHFFFAOYSA-N,found,3976.0,kinetin,,False
NR1H2 gene,Levofloxacin,149096.0,361.4,-0.4,73.3,1.0,8.0,C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,True,True,GSDSWSVVBLHKDQ-JTQLQIEISA-N,found,1569.0,levofloxacin,A02BD10,True
NR1H2 gene,Lisuride,28864.0,338.4,2.7,51.4,2.0,2.0,CCN(CC)C(=O)N[C@@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C,True,True,BKRGVLQUQGGVSM-KBXCAEBGSA-N,found,1588.0,lisuride,G02CB02,True
NR1H2 gene,Mianserin,4184.0,264.4,3.4,6.5,0.0,2.0,CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42,True,True,UEQUQVLFIPOEMF-UHFFFAOYSA-N,found,1796.0,mianserin,N06AX03,True
NR1H2 gene,Naltrexone,5360515.0,341.4,1.9,70.0,2.0,5.0,C1CC1CN2CC[C@]34[C@@H]5C(=O)CC[C@]3([C@H]2CC6=C4C(=C(C=C6)O)O5)O,True,True,DQCKKXVULJGBQN-XFWGSAIBSA-N,found,1765.0,naltrexone,A08AA62,True
