compound,pubchem_cid,canonical_smiles,molecular_formula,molecular_weight,iupac_name,pubchem_status
"(-)-Phenyl-carbamic acid 1,3a,8-trimethyl-1,2,3,3a,8,8a-hexahydro-pyrrolo[2,3-b]indol-5-yl ester",,,,,,CID not found
"(R)-5-{4-[2-(Methyl-pyridin-2-yl-amino)-ethoxy]-benzyl}-thiazolidine-2,4-dione",,,,,,CID not found
"1-(2,4-dichlorophenyl)-5-(4-iodophenyl)-4-methyl-N-morpholino-1H-pyrazole-3-carboxamide",4302962.0,,C21H19Cl2IN4O2,557.2,"1-(2,4-dichlorophenyl)-5-(4-iodophenyl)-4-methyl-N-morpholin-4-ylpyrazole-3-carboxamide",found
1-phenylbiguanide,4780.0,,C8H11N5,177.21,1-(diaminomethylidene)-2-phenylguanidine,found
"3-(dibenzo[b,e]oxepin-11(6H)-ylidene)-N,N-dimethylpropan-1-amine",3158.0,,C19H21NO,279.4,"3-(6H-benzo[c][1]benzoxepin-11-ylidene)-N,N-dimethylpropan-1-amine",found
"3-{2-[4-(6-Fluoro-benzo[d]isoxazol-3-yl)-piperidin-1-yl]-ethyl}-2-methyl-6,7,8,9-tetrahydro-pyrido[1,2-a]pyrimidin-4-one (Resperidone)",5073.0,,C23H27FN4O2,410.5,"3-[2-[4-(6-fluoro-1,2-benzoxazol-3-yl)piperidin-1-yl]ethyl]-2-methyl-6,7,8,9-tetrahydropyrido[1,2-a]pyrimidin-4-one",found
4-Amino-1-(5-hydroxymethyl-tetrahydro-furan-2-yl)-1H-pyrimidin-2-one,24066.0,,C9H13N3O3,211.22,"4-amino-1-[(2R,5S)-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one",found
4-Amino-N-(2-diethylamino-ethyl)-benzamide,4913.0,,C13H21N3O,235.33,4-amino-N-[2-(diethylamino)ethyl]benzamide,found
"5-(4-Chloro-phenyl)-6-ethyl-pyrimidine-2,4-diamine",4993.0,,C12H13ClN4,248.71,"5-(4-chlorophenyl)-6-ethylpyrimidine-2,4-diamine",found
"7,8-dihydroxy-6-methoxy-2H-chromen-2-one",5273569.0,,C10H8O5,208.17,"7,8-dihydroxy-6-methoxychromen-2-one",found
"8-[4-(4-Pyrimidin-2-yl-piperazin-1-yl)-butyl]-8-aza-spiro[4.5]decane-7,9-dione (Buspirone)",,,,,,CID not found
Acetohexamide,1989.0,,C15H20N2O4S,324.4,1-(4-acetylphenyl)sulfonyl-3-cyclohexylurea,found
Acyclovir,135398513.0,,C8H11N5O3,225.20,2-amino-9-(2-hydroxyethoxymethyl)-1H-purin-6-one,found
Altizide,2122.0,,C11H14ClN3O4S3,383.9,"6-chloro-1,1-dioxo-3-(prop-2-enylsulfanylmethyl)-3,4-dihydro-2H-1lambda6,2,4-benzothiadiazine-7-sulfonamide",found
Amphotericin B,5280965.0,,C47H73NO17,924.1,"(1R,3S,5R,6R,9R,11R,15S,16R,17R,18S,19E,21E,23E,25E,27E,29E,31E,33R,35S,36R,37S)-33-[(2R,3S,4S,5S,6R)-4-amino-3,5-dihydroxy-6-methyloxan-2-yl]oxy-1,3,5,6,9,11,17,37-octahydroxy-15,16,18-trimethyl-13-oxo-14,39-dioxabicyclo[33.3.1]nonatriaconta-19,21,23,25,27,29,31-heptaene-36-carboxylic acid",found
BG-1018,,,,,,CID not found
Benzocaine,2337.0,,C9H11NO2,165.19,ethyl 4-aminobenzoate,found
Bromopride,2446.0,,C14H22BrN3O2,344.25,4-amino-5-bromo-N-[2-(diethylamino)ethyl]-2-methoxybenzamide,found
Bromperidol,2448.0,,C21H23BrFNO2,420.3,4-[4-(4-bromophenyl)-4-hydroxypiperidin-1-yl]-1-(4-fluorophenyl)butan-1-one,found
CGP-54626,197583.0,,C18H29Cl3NO3P,444.8,"cyclohexylmethyl-[(2S)-3-[[(1S)-1-(3,4-dichlorophenyl)ethyl]amino]-2-hydroxypropyl]phosphinic acid;hydrochloride",found
Chlorambucil,2708.0,,C14H19Cl2NO2,304.2,4-[4-[bis(2-chloroethyl)amino]phenyl]butanoic acid,found
Cinchocaine,3025.0,,C20H29N3O2,343.5,2-butoxy-N-[2-(diethylamino)ethyl]quinoline-4-carboxamide,found
Cyclobenzaprine,2895.0,,C20H21N,275.4,"N,N-dimethyl-3-(2-tricyclo[9.4.0.03,8]pentadeca-1(15),3,5,7,9,11,13-heptaenylidene)propan-1-amine",found
