CID,MolecularWeight,SMILES,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,pubchem_cid,property_status
4302962,557.2,CC1=C(N(N=C1C(=O)NN2CCOCC2)C3=C(C=C(C=C3)Cl)Cl)C4=CC=C(C=C4)I,5.3,59.4,1,4,4,4302962,found
4780,177.21,C1=CC=C(C=C1)N=C(N)N=C(N)N,0.0,103.0,3,1,2,4780,found
5073,410.5,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,2.7,61.9,0,6,4,5073,found
4993,248.71,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,2.7,77.8,2,4,2,4993,found
2708,304.2,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,1.7,40.5,1,3,9,2708,found
2895,275.4,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31,5.2,3.2,0,1,3,2895,found
451668,228.21,C1[C@@H]([C@H](O[C@H]1N2C=NC(=NC2=O)N)CO)O,-1.2,121.0,3,4,2,451668,found
3162,270.37,CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C,2.5,25.4,0,3,6,3162,found
83933,719.9,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)O)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,2.2,205.0,6,14,6,83933,found
5756,288.4,C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H]([C@@H]2O)O)CCC4=C3C=CC(=C4)O,2.5,60.7,3,3,0,5756,found
5870,270.4,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O,3.1,37.3,1,2,0,5870,found
57363,372.5,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)NC(C)(C)C)CC[C@@H]4[C@@]3(C=CC(=O)N4)C,3.0,58.2,2,2,2,57363,found
3559,375.9,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,3.2,40.5,1,4,6,3559,found
3830,215.21,C1=COC(=C1)CNC2=NC=NC3=C2NC=N3,1.0,79.6,2,5,3,3830,found
149096,361.4,C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,-0.4,73.3,1,8,2,149096,found
28864,338.4,CCN(CC)C(=O)N[C@@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C,2.7,51.4,2,2,3,28864,found
4184,264.4,CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42,3.4,6.5,0,2,0,4184,found
5360515,341.4,C1CC1CN2CC[C@]34[C@@H]5C(=O)CC[C@]3([C@H]2CC6=C4C(=C(C=C6)O)O5)O,1.9,70.0,2,5,2,5360515,found
156391,230.26,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,3.3,46.5,1,3,3,156391,found
4908,259.35,CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2,2.2,60.2,2,4,6,4908,found
1978,336.4,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C,1.7,87.7,3,5,10,1978,found
2160,277.4,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,5.0,3.2,0,1,3,2160,found
9330,327.4,CCN(CC)CCOC(=O)C(C1=CC=CC=C1)(C2=CC=CC=C2)O,2.6,49.8,1,4,9,9330,found
448537,268.3,CC/C(=C(/CC)\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)O,5.1,40.5,2,2,4,448537,found
12560,733.9,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,2.7,194.0,5,14,7,12560,found
33478,463.5,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)OCOC(=O)C(C)(C)C)C,2.9,153.0,2,8,9,33478,found
5755,360.4,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C)O,1.6,94.8,3,5,2,5755,found
5865,358.4,C[C@]12CC(=O)[C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C,1.5,91.7,2,5,2,5865,found
5833,416.6,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@@]2([C@@H]3[C@@H]1[C@@H]4CC[C@]5([C@]4(CC3)C)CCC(=O)O5)C,2.9,85.7,0,5,2,5833,found
444795,300.4,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C,6.3,37.3,1,2,5,444795,found
3158,279.4,CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31,4.3,12.5,0,2,3,3158,found
24066,211.22,C1C[C@@H](O[C@@H]1CO)N2C=CC(=NC2=O)N,-1.3,88.2,2,3,2,24066,found
4913,235.33,CCN(CC)CCNC(=O)C1=CC=C(C=C1)N,0.9,58.4,2,3,6,4913,found
1989,324.4,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,2.4,101.0,2,4,4,1989,found
135398513,225.20,C1=NC2=C(N1COCCO)N=C(NC2=O)N,-1.9,115.0,3,5,4,135398513,found
5280965,924.1,C[C@H]1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O,0.0,320.0,12,18,3,5280965,found
2337,165.19,CCOC(=O)C1=CC=C(C=C1)N,1.9,52.3,1,3,3,2337,found
3025,343.5,CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC,4.4,54.5,1,4,10,3025,found
5280961,270.24,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,2.7,87.0,3,5,1,5280961,found
3478,445.5,CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,1.9,139.0,3,6,7,3478,found
6032,484.5,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)N)O)N,-6.9,283.0,11,15,6,6032,found
896,232.28,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,0.8,54.1,2,2,4,896,found
15387,263.35,CC1CCN(CC1)CCCC(=O)C2=CC=C(C=C2)F,3.3,20.3,0,3,5,15387,found
441130,383.5,C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H](NC3)C(=O)N(C)C)C(=O)O)[C@@H](C)O,-2.4,135.0,3,7,5,441130,found
126941,454.4,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,-1.8,211.0,5,12,9,126941,found
4543,263.4,CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,4.5,12.0,1,1,3,4543,found
4829,356.4,CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3,3.8,93.6,1,5,7,4829,found
43672,517.6,CCN1CCN(C(=O)C1=O)C(=O)N[C@H](C2=CC=CC=C2)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O,0.5,182.0,3,8,6,43672,found
5770,608.7,CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,4.0,118.0,1,10,10,5770,found
5320,214.24,CC(=O)NS(=O)(=O)C1=CC=C(C=C1)N,-1.0,97.6,2,4,2,5320,found
5323,310.33,COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)OC,1.6,125.0,2,8,5,5323,found
5325,264.31,CC1=NC(=NC=C1)NS(=O)(=O)C2=CC=C(C=C2)N,0.1,106.0,2,6,3,5325,found
5533,371.9,C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl,2.8,42.4,0,4,5,5533,found
135398737,326.8,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,3.1,30.9,1,3,1,135398737,found
3446,171.24,C1CCC(CC1)(CC(=O)O)CN,-1.1,63.3,2,3,3,3446,found
3658,374.9,C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,3.7,35.9,1,4,8,3658,found
4421,232.23,CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O,1.4,70.5,1,5,2,4421,found
8955,316.5,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,4.2,37.3,1,2,1,8955,found
3290,312.5,CCN(CC)C(C)CN1C2=CC=CC=C2SC3=CC=CC=C31,4.8,31.8,0,3,5,3290,found
5253,272.37,CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,0.2,86.8,3,5,6,5253,found
6769,666.7,CCOC(=O)OC1=C(C=C(C=C1OC)C(=O)O[C@@H]2C[C@@H]3CN4CCC5=C([C@H]4C[C@@H]3[C@@H]([C@H]2OC)C(=O)OC)NC6=C5C=CC(=C6)OC)OC,4.6,144.0,1,12,13,6769,found
5403,225.28,CC(C)(C)NCC(C1=CC(=CC(=C1)O)O)O,0.9,72.7,4,4,4,5403,found
5273569,208.17,COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)O,1.2,76.0,2,5,1,5273569,found
2122,383.9,C=CCSCC1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,0.8,160.0,3,8,5,2122,found
2446,344.25,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Br,2.8,67.6,2,4,7,2446,found
2448,420.3,C1CN(CCC1(C2=CC=C(C=C2)Br)O)CCCC(=O)C3=CC=C(C=C3)F,3.3,40.5,1,4,6,2448,found
197583,444.8,C[C@@H](C1=CC(=C(C=C1)Cl)Cl)NC[C@@H](CP(=O)(CC2CCCCC2)O)O.Cl,,69.6,4,4,8,197583,found
88505,211.17,COC1=C(C=C(C(=C1)C=O)[N+](=O)[O-])OC,1.2,81.4,0,5,3,88505,found
54677407,380.4,CC1(C=CC2=C(O1)C=C3C(=C2OC)C(=C(C(=O)O3)C4=CC=C(C=C4)OC)O)C,3.8,74.2,1,6,3,54677407,found
24965990,450.9,C[C@@H]1CCN(CCN1C(=O)C2=C(C=CC(=C2)C)N3N=CC=N3)C4=NC5=C(O4)C=CC(=C5)Cl,4.9,80.3,0,6,3,24965990,found
3080836,408.9,CC1=C(C=CC=C1Cl)NC2=C(C=CC=N2)C(=O)O.C(CCN)C[C@@H](C(=O)O)N,,152.0,5,8,8,3080836,found
9935681,499.5,CCOCC1=CC(=C(C(=C1)OC)C2=CC=C(C=C2)C[C@@H](C(=O)O)NC(=O)C3=C(C=CC=C3F)F)OC,4.6,94.1,2,8,11,9935681,found
853433,164.20,C/C=C/C1=CC(=C(C=C1)O)OC,2.6,29.5,1,2,2,853433,found
11705608,477.5,CC(C)OC(=O)N1CCC(CC1)OC2=NC=NC3=C2C=NN3C4=C(C=C(C=C4)S(=O)(=O)C)F,2.7,125.0,0,9,6,11705608,found
97807,196.20,C1OC2=C(O1)C=C(C=C2)CC(CO)O,0.8,58.9,2,4,3,97807,found
