neighbor_type,neighbor,node_code,cui,relationship,source
[GO],Cell Differentiation process,0030154,C0007589,gene_plays_role_in_process,NCI
[Disease],Homeostasis,21979002,C0019868,gene_plays_role_in_process,NCI
[GO],pattern biosynthesis,0007389,C1160421,gene_plays_role_in_process,NCI
[GO],Steroid Metabolic Process,0008202,C0597520,gene_plays_role_in_process,NCI
[GO],microtubule/chromatin interaction,0003677,C1148673,gene_plays_role_in_process,NCI
[Disease],"Chromosomes, Human, Pair 11",16312006,C0008653,located_in,GENCODE
[Disease],pregnenolone,47350002,C0373704,negatively_correlated_with_chemical_or_drug,CMAP
[Compound],Methotrexate,126941,C0025677,negatively_correlated_with_chemical_or_drug,CMAP
[Compound],Trazodone,5533,C0040805,negatively_correlated_with_chemical_or_drug,CMAP
[Compound],Decitabine,451668,C0049065,negatively_correlated_with_chemical_or_drug,CMAP
[Compound],4-Amino-N-(2-diethylamino-ethyl)-benzamide,4913,C0033216,negatively_correlated_with_chemical_or_drug,CMAP
[Compound],Primaquine,4908,C0033126,negatively_correlated_with_chemical_or_drug,CMAP
[Compound],SID11112786,5472,C0040207,negatively_correlated_with_chemical_or_drug,CMAP
[Compound],"5-(4-Chloro-phenyl)-6-ethyl-pyrimidine-2,4-diamine",4993,C0034283,negatively_correlated_with_chemical_or_drug,CMAP
[Compound],Acetohexamide,1989,C0000992,negatively_correlated_with_chemical_or_drug,CMAP
[Compound],"3-(dibenzo[b,e]oxepin-11(6H)-ylidene)-N,N-dimethylpropan-1-amine",667468,C0013085,negatively_correlated_with_chemical_or_drug,CMAP
[Compound],Amphotericin B,5280965,C0002679,negatively_correlated_with_chemical_or_drug,CMAP
[Compound],SID11111262,3637,C0020223,negatively_correlated_with_chemical_or_drug,CMAP
[Compound],Acyclovir,135398513,C0001367,negatively_correlated_with_chemical_or_drug,CMAP
[Compound],Pioglitazone,4829,C0071097,negatively_correlated_with_chemical_or_drug,CMAP
[Compound],Sulfamerazine,5325,C0038684,negatively_correlated_with_chemical_or_drug,CMAP
[Compound],Sulfadimethoxine,5323,C0038676,negatively_correlated_with_chemical_or_drug,CMAP
[Compound],Meropenem,441130,C0066005,negatively_correlated_with_chemical_or_drug,CMAP
[Compound],spironolactone,5833,C0037982,negatively_correlated_with_chemical_or_drug,CMAP
[Compound],Haloperidol,3559,C0018546,negatively_correlated_with_chemical_or_drug,CMAP
[Compound],Glipizide,3478,C0017642,negatively_correlated_with_chemical_or_drug,CMAP
[Compound],gabapentin,3446,C0060926,negatively_correlated_with_chemical_or_drug,CMAP
[Compound],Piperacillin,43672,C0031955,negatively_correlated_with_chemical_or_drug,CMAP
[Compound],Cinchocaine,3025,C0012050,negatively_correlated_with_chemical_or_drug,CMAP
[Compound],hydroxyzine,3658,C0020404,negatively_correlated_with_chemical_or_drug,CMAP
[Compound],4-Amino-1-(5-hydroxymethyl-tetrahydro-furan-2-yl)-1H-pyrimidin-2-one,24066,C0012132,negatively_correlated_with_chemical_or_drug,CMAP
[Compound],Sulfacetamide,5320,C0038670,negatively_correlated_with_chemical_or_drug,CMAP
[Compound],nalidixic-acid,4421,C0027353,negatively_correlated_with_chemical_or_drug,CMAP
[Compound],SID11112531,3055,C0058371,negatively_correlated_with_chemical_or_drug,CMAP
[Compound],Melatonin,896,C0025219,negatively_correlated_with_chemical_or_drug,CMAP
[Compound],Nortriptyline,4543,C0028420,negatively_correlated_with_chemical_or_drug,CMAP
[Compound],profenamine,688098,C0015042,negatively_correlated_with_chemical_or_drug,CMAP
[Compound],sotalol,5253,C0037707,negatively_correlated_with_chemical_or_drug,CMAP
