id,name,sym,fam,famext,tdl,uniprot,dtoid,novelty_score,importance_score
16937,"Apolipoprotein E",APOE,,,Tbio,P02649,,0.00005049,702.04474217
16142,"Amyloid-beta A4 protein",APP,,,Tchem,P05067,DTO_05003235,0.00008964,688.56238312
16745,"Microtubule-associated protein tau",MAPT,,,Tclin,P10636,,0.00013232,267.07713217
18996,"Presenilin-1",PSEN1,"Enzyme","peptidase",Tchem,P49768,DTO_05005870,0.00024189,264.82031564
13655,"Beta-secretase 1",BACE1,"Enzyme","peptidase",Tchem,P56817,DTO_05006064,0.00042175,141.39393438
18381,"Presenilin-2",PSEN2,"Enzyme","peptidase",Tchem,P49810,DTO_05005872,0.00112188,40.39713531
16204,"14-3-3 protein theta",YWHAQ,,,Tchem,P27348,DTO_05003669,0.00234496,23.776206
10149,"PHD finger protein 1",PHF1,"Epigenetic",,Tbio,O43189,DTO_05001745,0.00430297,13.67990262
19040,"Nicastrin",NCSTN,,,Tbio,Q92542,,0.00453935,12.01016762
10008,"Phosphatidylinositol-binding clathrin assembly protein",PICALM,,,Tbio,Q13492,DTO_05002534,0.00800832,8.0031637
15671,"ATP-binding cassette sub-family A member 7",ABCA7,"Transporter","ATP_binding_cassette_Transporter",Tbio,Q8IZY2,DTO_05000109,0.00808369,6.59638511
15464,"Amyloid-like protein 2",APLP2,,,Tbio,Q06481,DTO_05003190,0.0082936,6.52238341
13674,"Amyloid-like protein 1",APLP1,,,Tbio,P51693,DTO_05003219,0.01063681,5.25302964
12954,"Calcium homeostasis modulator protein 1",CALHM1,"IC","IC",Tbio,Q8IU99,DTO_01100052,0.01742976,2.88908033
12838,"Membrane-spanning 4-domains subfamily A member 6A",MS4A6A,,,Tbio,Q9H2W1,DTO_05002268,0.04742307,1.43347839
7538,"Tau-tubulin kinase 1",TTBK1,"Kinase",,Tbio,Q5TCY1,DTO_03100545,0.04769898,1.09929372
953,"Golgin subfamily A member 6-like protein 2",GOLGA6L2,,,Tdark,Q8N9W4,DTO_05000834,0.05996778,0.8821274
14142,"Collagen alpha-1(XXV) chain",COL25A1,,,Tbio,Q9BXS0,,0.06702504,0.70966395
1923,"Calsyntenin-3",CLSTN3,,,Tbio,Q9BQT9,DTO_05007373,0.10438143,0.50879893
7821,"TM2 domain-containing protein 1",TM2D1,,,Tdark,Q9BX74,,0.1760181,0.49557206
12474,"Leucine-rich repeat transmembrane neuronal protein 3",LRRTM3,,,Tbio,Q86VH5,DTO_05007099,0.18633527,0.33882691
1536,"Protein FAM222A",FAM222A,,,Tdark,Q5U5X8,,0.41466126,0.22318158
17148,"Putative inactive neutral ceramidase B",ASAH2B,"Enzyme","ceramidase",Tdark,P0C7U1,,0.66932428,0.08191247
18875,"Non-structural maintenance of chromosomes element 1 homolog",NSMCE1,,,Tdark,Q8WV22,,0.75370409,0.07619048
18234,"Olfactory receptor 8J1",OR8J1,"oGPCR","oGPCR",Tdark,Q8NGP2,DTO_02100701,1.2888792,0.06428571
18549,"Olfactory receptor 2B2",OR2B2,"oGPCR","oGPCR",Tdark,Q9GZK3,DTO_02100513,2.01933949,0.03571429
17066,"Uncharacterized protein C10orf105",C10orf105,,,Tdark,Q8TEF2,,3.94007914,0.02958769
12598,"Putative membrane-spanning 4-domains subfamily A member 4E",MS4A4E,,,Tdark,Q96PG1,DTO_05002344,6.06659352,0.00985231
4246,"28S ribosomal protein S35, mitochondrial",MRPS35,,,Tdark,P82673,DTO_05002121,6.44240335,0.00490196
19822,"Olfactory receptor 52N5",OR52N5,"oGPCR","oGPCR",Tdark,Q8NH56,DTO_02100433,6.7699115,0.00462963
1713,"Protein FAM177B",FAM177B,,,Tdark,A6PVY3,DTO_05004617,9.85714286,0.00350877
11254,"Keratin-associated protein 10-10",KRTAP10-10,,,Tdark,P60014,,14.59459459,0.00277778
