#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
FCER1G	KLRK1	9606.ENSP00000289902	9606.ENSP00000240618	0	0	0	0	0.075	0	0	0.758	0.767
FCER1G	TREM1	9606.ENSP00000289902	9606.ENSP00000244709	0	0	0	0	0.220	0	0	0.595	0.670
FCER1G	TYROBP	9606.ENSP00000289902	9606.ENSP00000262629	0	0	0	0	0.988	0	0	0.964	0.999
FCER1G	ZAP70	9606.ENSP00000289902	9606.ENSP00000264972	0	0	0	0	0.077	0.051	0.900	0.764	0.976
FCER1G	KLRD1	9606.ENSP00000289902	9606.ENSP00000338130	0	0	0	0	0.106	0	0	0.730	0.748
FCER1G	SIRPB1	9606.ENSP00000289902	9606.ENSP00000371018	0	0	0	0	0.184	0	0	0.731	0.771
FCER1G	KLRC2	9606.ENSP00000289902	9606.ENSP00000371327	0	0	0	0	0.083	0	0	0.765	0.775
FCER1G	NCR2	9606.ENSP00000289902	9606.ENSP00000362181	0	0	0	0	0.047	0	0	0.877	0.877
FCER1G	TREM2	9606.ENSP00000289902	9606.ENSP00000362205	0	0	0	0	0.186	0	0	0.990	0.991
FCER1G	SYK	9606.ENSP00000289902	9606.ENSP00000364898	0	0	0	0	0.177	0.954	0.900	0.998	0.999
KLRC2	KLRK1	9606.ENSP00000371327	9606.ENSP00000240618	0	0.070	0	0.657	0.650	0	0.400	0.691	0.931
KLRC2	TYROBP	9606.ENSP00000371327	9606.ENSP00000262629	0	0	0	0	0.086	0.315	0.900	0.994	0.999
KLRC2	ZAP70	9606.ENSP00000371327	9606.ENSP00000264972	0	0	0	0	0.155	0.045	0	0.375	0.451
KLRC2	KLRD1	9606.ENSP00000371327	9606.ENSP00000338130	0	0	0.092	0.772	0.457	0.785	0.900	0.986	0.999
KLRC2	NCR2	9606.ENSP00000371327	9606.ENSP00000362181	0	0	0	0	0	0	0	0.791	0.791
KLRC2	TREM2	9606.ENSP00000371327	9606.ENSP00000362205	0	0	0	0	0.067	0	0.400	0.130	0.470
KLRC2	SYK	9606.ENSP00000371327	9606.ENSP00000364898	0	0	0	0	0.061	0.045	0.500	0.481	0.736
KLRD1	KLRK1	9606.ENSP00000338130	9606.ENSP00000240618	0	0	0	0.757	0.657	0	0.400	0.726	0.938
KLRD1	TYROBP	9606.ENSP00000338130	9606.ENSP00000262629	0	0	0	0	0.140	0.073	0.900	0.991	0.999
KLRD1	ZAP70	9606.ENSP00000338130	9606.ENSP00000264972	0	0	0	0	0.195	0.045	0	0.435	0.527
KLRD1	TREM2	9606.ENSP00000338130	9606.ENSP00000362205	0	0	0	0	0.069	0	0.400	0.185	0.506
KLRD1	SYK	9606.ENSP00000338130	9606.ENSP00000364898	0	0	0	0	0.063	0.045	0.500	0.420	0.705
KLRD1	NCR2	9606.ENSP00000338130	9606.ENSP00000362181	0	0	0	0	0	0	0	0.823	0.823
KLRK1	TREM2	9606.ENSP00000240618	9606.ENSP00000362205	0	0	0	0	0.055	0	0.400	0.143	0.472
KLRK1	ZAP70	9606.ENSP00000240618	9606.ENSP00000264972	0	0	0	0	0.347	0.045	0	0.669	0.776
KLRK1	SYK	9606.ENSP00000240618	9606.ENSP00000364898	0	0	0	0	0.061	0.045	0.500	0.706	0.850
KLRK1	NCR2	9606.ENSP00000240618	9606.ENSP00000362181	0	0	0	0	0	0	0	0.963	0.963
KLRK1	TYROBP	9606.ENSP00000240618	9606.ENSP00000262629	0	0	0	0	0.123	0.154	0.700	0.996	0.998
NCR2	TREM1	9606.ENSP00000362181	9606.ENSP00000244709	0	0	0	0.612	0.044	0	0.400	0.307	0.567
NCR2	TYROBP	9606.ENSP00000362181	9606.ENSP00000262629	0	0	0	0	0.047	0.510	0.900	0.997	0.999
NCR2	ZAP70	9606.ENSP00000362181	9606.ENSP00000264972	0	0	0	0	0	0	0	0.486	0.485
NCR2	TREM2	9606.ENSP00000362181	9606.ENSP00000362205	0	0	0	0.627	0.044	0	0.400	0.536	0.710
SIRPB1	TREM1	9606.ENSP00000371018	9606.ENSP00000244709	0	0	0	0	0.156	0	0	0.508	0.567
SIRPB1	TYROBP	9606.ENSP00000371018	9606.ENSP00000262629	0	0	0	0	0.202	0.510	0.900	0.990	0.999
SIRPB1	TREM2	9606.ENSP00000371018	9606.ENSP00000362205	0	0	0	0	0.063	0	0	0.690	0.697
SIRPB1	SYK	9606.ENSP00000371018	9606.ENSP00000364898	0	0	0	0	0.116	0.321	0	0.370	0.589
SYK	TREM1	9606.ENSP00000364898	9606.ENSP00000244709	0	0	0	0	0.108	0	0	0.420	0.461
SYK	TYROBP	9606.ENSP00000364898	9606.ENSP00000262629	0	0	0	0	0.260	0.897	0.900	0.997	0.999
SYK	ZAP70	9606.ENSP00000364898	9606.ENSP00000264972	0	0	0.053	0.954	0.067	0	0.900	0.771	0.977
SYK	TREM2	9606.ENSP00000364898	9606.ENSP00000362205	0	0	0	0	0.127	0	0.900	0.813	0.982
TREM1	TREM2	9606.ENSP00000244709	9606.ENSP00000362205	0	0	0	0	0.084	0	0.400	0.979	0.987
TREM1	TYROBP	9606.ENSP00000244709	9606.ENSP00000262629	0	0	0	0	0.343	0.516	0.700	0.996	0.999
TREM2	TYROBP	9606.ENSP00000362205	9606.ENSP00000262629	0	0	0	0	0.310	0.591	0.800	0.999	0.999
TREM2	ZAP70	9606.ENSP00000362205	9606.ENSP00000264972	0	0	0	0	0.074	0	0	0.666	0.677
TYROBP	ZAP70	9606.ENSP00000262629	9606.ENSP00000264972	0	0	0	0	0.098	0	0.900	0.994	0.999
